panel,phenotype,pipeline,disorder,stratum,source,caveat,estimate,se,p,n,status,m_eff,threshold,gene_set,h2_z,underpowered
prs,slope_topDelta,v2,SCZ,EUR,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0426916402881419,0.0155907280351328,0.0062049431362373,4116.0,observed,4.6,0p5,,,
prs,slope_topDelta,v2,SCZ,full,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0417579652232616,0.0147208557255151,0.0045709675063812,8082.0,observed,4.6,0p5,,,
prs,slope_topDelta,v2,MDD,EUR,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0144640780683824,0.015547108306632,0.352253930537477,4116.0,observed,4.6,0p5,,,
prs,slope_topDelta,v2,MDD,full,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0519855788920952,0.0272715020260737,0.0566586398963581,8082.0,observed,4.6,0p5,,,
prs,slope_topC3,v2,SCZ,EUR,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.03740774948991,0.01557400269138,0.0163559848640286,4116.0,observed,4.6,0p5,,,
prs,slope_topC3,v2,SCZ,full,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.037934053526665,0.0146921209229407,0.0098434925165692,8082.0,observed,4.6,0p5,,,
prs,slope_topC3,v2,MDD,EUR,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0089229194850367,0.0155266231585461,0.565537745535272,4116.0,observed,4.6,0p5,,,
prs,slope_topC3,v2,MDD,full,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0384774487593356,0.027216735057662,0.157478348616202,8082.0,observed,4.6,0p5,,,
prs,slope_projDelta,v2,SCZ,EUR,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0189347029967946,0.0161362676160703,0.240698552458677,4116.0,observed,4.6,0p5,,,
prs,slope_projDelta,v2,SCZ,full,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.009677042150317,0.0151259584041575,0.522345462683837,8082.0,observed,4.6,0p5,,,
prs,slope_projDelta,v2,MDD,EUR,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0010418083952699,0.0160808902603753,0.948348154767177,4116.0,observed,4.6,0p5,,,
prs,slope_projDelta,v2,MDD,full,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",0.0118771643478802,0.0280145820121991,0.671604288446586,8082.0,observed,4.6,0p5,,,
prs,slope_projC3,v2,SCZ,EUR,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0111861000153331,0.0160826789103795,0.486760425183664,4116.0,observed,4.6,0p5,,,
prs,slope_projC3,v2,SCZ,full,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0127932873210633,0.0150419592432524,0.395070015985162,8082.0,observed,4.6,0p5,,,
prs,slope_projC3,v2,MDD,EUR,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",0.0028698965740483,0.016018092017345,0.857816688379686,4116.0,observed,4.6,0p5,,,
prs,slope_projC3,v2,MDD,full,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",0.0041483562338647,0.0278519310417798,0.881602335007055,8082.0,observed,4.6,0p5,,,
magma,baseline_thickness,v2,SCZ,EUR,hpc_v2/work/results_v2/magma_prio_eur_v3/sczprio_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",0.18743,0.050821,0.00011342,455.0,observed,,,SCZ_locus_pool,,
magma,global_slope,v2,SCZ,EUR,hpc_v2/work/results_v2/magma_prio_eur_v3/sczprio_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",0.12437,0.051021,0.0073985,455.0,observed,,,SCZ_locus_pool,,
magma,slope_topDelta,v2,SCZ,EUR,hpc_v2/work/results_v2/magma_prio_eur_v3/sczprio_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",0.12528,0.050834,0.0068648,455.0,observed,,,SCZ_locus_pool,,
magma,slope_topC3,v2,SCZ,EUR,hpc_v2/work/results_v2/magma_prio_eur_v3/sczprio_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",0.091772,0.050796,0.035417,455.0,observed,,,SCZ_locus_pool,,
magma,slope_projDelta,v2,SCZ,EUR,hpc_v2/work/results_v2/magma_prio_eur_v3/sczprio_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",0.0076664,0.051384,0.4407,455.0,observed,,,SCZ_locus_pool,,
magma,slope_projC3,v2,SCZ,EUR,hpc_v2/work/results_v2/magma_prio_eur_v3/sczprio_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",0.020848,0.051223,0.34201,455.0,observed,,,SCZ_locus_pool,,
magma,baseline_thickness,v2,MDD,EUR,hpc_v2/work/results_v2/magma_prio_eur_v3/mddhc_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",0.020912,0.026161,0.21205,1881.0,observed,,,MDD_pool,,
magma,global_slope,v2,MDD,EUR,hpc_v2/work/results_v2/magma_prio_eur_v3/mddhc_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",0.029263,0.026256,0.13254,1881.0,observed,,,MDD_pool,,
magma,slope_topDelta,v2,MDD,EUR,hpc_v2/work/results_v2/magma_prio_eur_v3/mddhc_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",0.050247,0.026158,0.02738,1881.0,observed,,,MDD_pool,,
magma,slope_topC3,v2,MDD,EUR,hpc_v2/work/results_v2/magma_prio_eur_v3/mddhc_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",0.024229,0.026138,0.17698,1881.0,observed,,,MDD_pool,,
magma,slope_projDelta,v2,MDD,EUR,hpc_v2/work/results_v2/magma_prio_eur_v3/mddhc_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",0.040224,0.026436,0.064075,1881.0,observed,,,MDD_pool,,
magma,slope_projC3,v2,MDD,EUR,hpc_v2/work/results_v2/magma_prio_eur_v3/mddhc_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",-0.029911,0.026355,0.87179,1881.0,observed,,,MDD_pool,,
rg,baseline_thickness,v2,SCZ,EUR,hpc_v2/work/results_v2/ldsc_eur_v3/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",0.02597,0.05202,0.6176,,observed,,,,4.49,no
rg,baseline_thickness,v2,MDD,EUR,hpc_v2/work/results_v2/ldsc_eur_v3/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",-0.0186,0.0534,0.7276,,observed,,,,4.29,no
rg,global_slope,v2,SCZ,EUR,hpc_v2/work/results_v2/ldsc_eur_v3/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",-0.1493,0.109,0.1707,,observed,,,,1.16,yes
rg,global_slope,v2,MDD,EUR,hpc_v2/work/results_v2/ldsc_eur_v3/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",-0.05111,0.1067,0.6321,,observed,,,,1.04,yes
rg,slope_topDelta,v2,SCZ,EUR,hpc_v2/work/results_v2/ldsc_eur_v3/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",-0.07163,0.2419,0.7671,,observed,,,,0.3,yes
rg,slope_topDelta,v2,MDD,EUR,hpc_v2/work/results_v2/ldsc_eur_v3/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",0.0,0.11,,,not_estimable,,,,,not estimable
rg,slope_topC3,v2,SCZ,EUR,hpc_v2/work/results_v2/ldsc_eur_v3/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",-0.3086,0.453,0.4957,,observed,,,,0.4,yes
rg,slope_topC3,v2,MDD,EUR,hpc_v2/work/results_v2/ldsc_eur_v3/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",-0.1251,1.059,0.906,,observed,,,,0.2,yes
rg,slope_projDelta,v2,SCZ,EUR,hpc_v2/work/results_v2/ldsc_eur_v3/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",0.061,0.1366,0.6551,,observed,,,,0.66,yes
rg,slope_projDelta,v2,MDD,EUR,hpc_v2/work/results_v2/ldsc_eur_v3/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",-3.718e-05,0.1413,0.9998,,observed,,,,0.58,yes
rg,slope_projC3,v2,SCZ,EUR,hpc_v2/work/results_v2/ldsc_eur_v3/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",-0.1939,0.2328,0.405,,observed,,,,0.62,yes
rg,slope_projC3,v2,MDD,EUR,hpc_v2/work/results_v2/ldsc_eur_v3/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",-0.06034,0.178,0.7347,,observed,,,,0.47,yes
h2,baseline_thickness,v1,,full,hpc/work/results/reml_imp_pooled/reml_summary.tsv,"v1 single-GRM REML, relatives dropped (n=5,649); v2 Zaitlen two-GRM, relatives kept (n=8,082)",0.2465,0.0489,1.4894e-07,5649.0,observed,,,,,
h2,global_slope,v1,,full,hpc/work/results/reml_imp_pooled/reml_summary.tsv,"v1 single-GRM REML, relatives dropped (n=5,649); v2 Zaitlen two-GRM, relatives kept (n=8,082)",0.1373,0.0464,0.001157,5649.0,observed,,,,,
prs,baseline_thickness,v1,SCZ,EUR,hpc/work/results/prs_imp/prs_association.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",0.0216560027565387,0.0144835443446543,0.134917783530155,5361.0,observed,4.6,0p5,,,
prs,baseline_thickness,v1,MDD,EUR,hpc/work/results/prs_imp/prs_association.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0272314535305821,0.0157348326752632,0.0835726101718363,5361.0,observed,4.6,0p5,,,
prs,global_slope,v1,SCZ,EUR,hpc/work/results/prs_imp/prs_association.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0299807620225854,0.0138160918955698,0.030054379950952,5361.0,observed,4.6,0p5,,,
prs,global_slope,v1,MDD,EUR,hpc/work/results/prs_imp/prs_association.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0260944467157479,0.0149972266521653,0.0819290666707971,5361.0,observed,4.6,0p5,,,
magma,baseline_thickness,v1,SCZ,EUR,hpc/work/results/magma_prio_imp_eur/sczprio_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",0.15331,0.051277,0.0013983,455.0,observed,,,SCZ_locus_pool,,
magma,global_slope,v1,SCZ,EUR,hpc/work/results/magma_prio_imp_eur/sczprio_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",0.12669,0.051595,0.0070409,455.0,observed,,,SCZ_locus_pool,,
magma,baseline_thickness,v1,MDD,EUR,hpc/work/results/magma_prio_imp_eur/mddhc_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",0.022814,0.026087,0.19092,1881.0,observed,,,MDD_pool,,
magma,global_slope,v1,MDD,EUR,hpc/work/results/magma_prio_imp_eur/mddhc_gsa_summary.tsv,"v1 vs v2 GWAS, same gene sets and MAGMA code",0.034524,0.026245,0.094191,1881.0,observed,,,MDD_pool,,
rg,baseline_thickness,v1,SCZ,EUR,hpc/work/results/ldsc_imp_eur/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",0.01895,0.05719,0.7404,,observed,,,,3.89,yes
rg,baseline_thickness,v1,MDD,EUR,hpc/work/results/ldsc_imp_eur/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",-0.02704,0.05786,0.6403,,observed,,,,3.62,yes
rg,global_slope,v1,SCZ,EUR,hpc/work/results/ldsc_imp_eur/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",-0.199,0.2178,0.361,,observed,,,,0.57,yes
rg,global_slope,v1,MDD,EUR,hpc/work/results/ldsc_imp_eur/ldsc_rg_summary.tsv,"v1 vs v2 GWAS, same LDSC code and LD reference",-0.04301,0.151,0.7758,,observed,,,,0.58,yes
prs,global_slope,avgfirst,SCZ,EUR,hpc_v3/prs_tables/prs_avgfirst.tsv,"array-score overlap (n=4,116), single p<0.5 score; same-sample current-definition beta -0.0395 (p=0.010)",-0.0347,0.0151,0.0219,4116.0,observed,1.0,0p5,,,
prs,global_slope,avgfirst,MDD,EUR,hpc_v3/prs_tables/prs_avgfirst.tsv,"array-score overlap (n=4,116), single p<0.5 score; same-sample current-definition beta -0.0113 (p=0.468)",-0.019,0.0157,0.2254,4116.0,observed,1.0,0p5,,,
